symbol,entry_date,setup,p_raw,p_cal,score,is_win,r_realized
ETN,2023-09-13,breakout,0.32196724263602583,0.33519553072625696,34,0,-1.0
GOOG,2023-09-13,momentum,0.4106069116496913,0.3397291196388262,34,0,-1.0
APP,2023-09-13,momentum,0.3594846148572739,0.3397291196388262,34,1,2.752
PDD,2023-09-13,momentum,0.4889480784918921,0.4461538461538462,45,0,-1.0
INTU,2023-09-13,momentum,0.4140224115163382,0.3397291196388262,34,0,-1.0
V,2023-09-13,momentum,0.4294204328717225,0.3397291196388262,34,0,-1.0
WDAY,2023-09-13,momentum,0.4140779134970068,0.3397291196388262,34,0,-1.0
ETR,2023-09-13,momentum,0.5082919890578145,0.45714285714285713,46,0,-1.0
GOOGL,2023-09-13,momentum,0.4101401254060438,0.3397291196388262,34,0,-1.0
LOW,2023-09-13,momentum,0.3907617097528284,0.3397291196388262,34,0,-1.0
AAPL,2023-09-13,reversion,0.28839562335843993,0.33519553072625696,34,1,2.506
RIVN,2023-09-13,momentum,0.4368443852313585,0.41379310344827586,41,0,-1.0
JOBY,2023-09-14,reversion,0.33819390233307917,0.3397291196388262,34,0,-1.0
PANW,2023-09-14,momentum,0.4137033175125247,0.3397291196388262,34,0,-1.0
MCD,2023-09-14,momentum,0.5582828412040524,0.562962962962963,56,0,-1.0
IREN,2023-09-14,momentum,0.626693438166176,0.641711229946524,64,0,-1.0
CIEN,2023-09-14,momentum,0.43912026924638864,0.41379310344827586,41,0,-1.0
CRM,2023-09-14,momentum,0.37524889879943146,0.3397291196388262,34,0,-1.0
JPM,2023-09-14,momentum,0.5779058830320906,0.562962962962963,56,1,2.748
LRCX,2023-09-14,reversion,0.33900632158397953,0.3397291196388262,34,0,-1.0
NOW,2023-09-14,momentum,0.46166712123753634,0.41379310344827586,41,0,-1.0
FCX,2023-09-14,momentum,0.47744137819878407,0.41379310344827586,41,0,-1.0
SHOP,2023-09-14,momentum,0.47243606088833123,0.41379310344827586,41,0,-1.0
HD,2023-09-14,momentum,0.46270344097021054,0.41379310344827586,41,0,-1.0
NXPI,2023-09-14,momentum,0.3973506772690188,0.3397291196388262,34,0,-1.0
ZS,2023-09-15,momentum,0.34675720148637007,0.3397291196388262,34,0,-1.0
DELL,2023-09-18,momentum,0.4671544305122437,0.41379310344827586,41,0,-1.0
SLB,2023-09-18,momentum,0.4163594638917634,0.3397291196388262,34,0,-1.0
MU,2023-09-18,momentum,0.34783058711531184,0.3397291196388262,34,0,-1.0
ADI,2023-09-18,momentum,0.355635445586822,0.3397291196388262,34,0,-1.0
TEAM,2023-09-19,momentum,0.29015439567645307,0.33519553072625696,34,0,-1.0
VST,2023-09-20,momentum,0.2791678430360822,0.33519553072625696,34,0,-1.0
CEG,2023-09-21,momentum,0.23943054198550565,0.33519553072625696,34,0,-1.0
MPC,2023-09-21,momentum,0.24967722780799712,0.33519553072625696,34,0,-1.0
MPC,2023-10-10,momentum,0.5672396192770679,0.562962962962963,56,0,-1.0
URI,2023-10-10,momentum,0.5946919605090346,0.5918367346938775,59,0,-1.0
MDB,2023-10-10,momentum,0.5679773450919856,0.562962962962963,56,0,-1.0
JD,2023-10-10,momentum,0.6336500833969672,0.641711229946524,64,1,2.75
SMR,2023-10-10,momentum,0.7052573518361149,0.6785714285714286,68,0,-1.0
SPY,2023-10-10,momentum,0.5586490516423512,0.562962962962963,56,1,2.745
IONQ,2023-10-10,momentum,0.6702018005596772,0.641711229946524,64,0,-1.0
EOG,2023-10-10,momentum,0.5803351752815417,0.562962962962963,56,1,2.757
OXY,2023-10-10,momentum,0.5822820156080099,0.562962962962963,56,1,2.748
SLB,2023-10-10,momentum,0.5805291931854518,0.562962962962963,56,1,2.75
DDOG,2023-10-10,momentum,0.4981080620606567,0.45714285714285713,46,0,-1.0
LRCX,2023-10-10,momentum,0.5439294490481306,0.5042016806722689,50,1,2.752
ON,2023-10-10,momentum,0.5875304736600482,0.5714285714285714,57,0,-1.0
AFRM,2023-10-10,momentum,0.6787194275686794,0.641711229946524,64,0,-1.0
CAT,2023-10-10,momentum,0.5866447750351218,0.5714285714285714,57,0,-1.0
PSTG,2023-10-10,momentum,0.5355371587381487,0.5042016806722689,50,0,-1.0
GE,2023-10-10,momentum,0.5473150805235477,0.562962962962963,56,0,-1.0
CSCO,2023-10-10,momentum,0.5126034213316021,0.45714285714285713,46,0,-1.0
NTAP,2023-10-10,momentum,0.5667593527438846,0.562962962962963,56,0,-1.0
V,2023-10-10,momentum,0.5555220902573377,0.562962962962963,56,1,2.751
MA,2023-10-10,momentum,0.553585731466009,0.562962962962963,56,0,-1.0
AMAT,2023-10-10,momentum,0.5599861634770772,0.562962962962963,56,0,-1.0
DASH,2023-10-10,momentum,0.749794710811308,0.7281553398058253,73,0,-1.0
SOXX,2023-10-10,momentum,0.5295966186026753,0.5042016806722689,50,0,-1.0
SOFI,2023-10-10,momentum,0.7243952631999848,0.7281553398058253,73,0,-1.0
LMT,2023-10-10,momentum,0.7627882833458978,0.8181818181818182,82,1,2.748
ROKU,2023-10-10,momentum,0.5241878169459848,0.5042016806722689,50,0,-1.0
IBM,2023-10-11,momentum,0.5110320049023975,0.45714285714285713,46,0,-1.0
ETN,2023-10-11,momentum,0.6031691290546083,0.5918367346938775,59,0,-1.0
EXC,2023-10-11,momentum,0.7151425654451349,0.7281553398058253,73,1,2.78
JPM,2023-10-11,momentum,0.6007256184187296,0.5918367346938775,59,1,2.739
AMZN,2023-10-11,momentum,0.5549654015112357,0.562962962962963,56,1,2.749
VST,2023-10-16,momentum,0.4409497628886096,0.41379310344827586,41,1,2.732
