symbol,entry_date,exit_date,setup,setup_score,entry,stop,target,rr_planned,exit_price,exit_reason,r_realized,days_held,regime_label,rr_gate,regime_mult,days_to_earnings,adx_value,ad_line_slope_pct,higher_lows,institutional_ownership_pct,extended,rr_pts,setup_pts,ctx_pts,inst_pts,raw_score,earnings_mult,extended_mult,final_score,confidence
AAPL,2023-04-12,2023-04-28,momentum,40.29,159.5,156.93,166.57,2.75,166.57,target,2.751,12,risk_on,2.5,0.893,,30.81,28.771,0,65.8,False,12.5,12.09,20.0,4.3,48.89,1.0,1.0,43.66,speculative
AAPL,2023-05-18,2023-05-30,momentum,85.0,170.27,168.06,176.33,2.75,176.33,target,2.755,7,risk_on,2.5,0.909,,33.53,10.167,0,65.8,False,12.5,25.5,20.0,4.3,62.3,1.0,1.0,56.63,medium
AAPL,2023-07-28,2023-08-03,momentum,65.0,191.06,188.59,197.85,2.75,188.59,stop,-1.0,4,risk_on,2.5,0.927,,43.67,-1.853,3,65.8,False,12.5,19.5,10.0,9.3,51.3,1.0,1.0,47.56,speculative
AAPL,2023-08-10,2023-08-17,reversion,75.0,175.51,173.72,179.97,2.5,173.72,stop,-1.0,5,risk_on,2.5,0.868,,40.12,-15.306,0,65.8,False,0.0,22.5,10.0,4.3,36.8,1.0,1.0,31.94,speculative
AAPL,2023-08-29,2023-08-30,momentum,92.0,177.41,175.41,182.91,2.75,182.91,target,2.75,1,risk_on,2.5,0.901,,31.76,-7.256,1,65.8,False,12.5,27.6,10.0,6.3,56.4,1.0,1.0,50.82,speculative
AAPL,2023-09-13,2023-09-18,reversion,47.0,172.03,170.43,176.04,2.5,176.04,target,2.506,3,risk_on,2.5,0.899,,26.93,3.535,0,65.8,False,0.0,14.1,15.92,4.3,34.32,1.0,1.0,30.85,speculative
AAPL,2023-11-02,2023-11-07,momentum,82.0,170.91,168.46,177.65,2.75,177.65,target,2.751,3,neutral,2.75,0.857,,22.1,10.921,1,65.8,False,12.5,24.6,17.04,6.3,60.44,1.0,1.0,51.8,speculative
AAPL,2023-11-29,2023-12-04,momentum,48.86,187.34,185.68,191.91,2.75,185.68,stop,-1.0,3,risk_on,2.5,0.92,,31.57,16.47,0,65.8,False,12.5,14.66,20.0,4.3,51.46,1.0,1.0,47.34,speculative
AAPL,2024-01-03,2024-01-04,reversion,47.0,182.19,180.64,186.05,2.5,180.64,stop,-1.0,1,risk_on,2.5,0.897,,26.0,5.124,0,65.8,False,0.0,14.1,18.5,4.3,36.9,1.0,1.0,33.1,speculative
AAPL,2024-01-19,2024-01-22,momentum,65.0,184.92,182.49,191.59,2.75,191.59,target,2.745,1,risk_on,2.5,0.89,,23.89,7.289,0,65.8,False,12.5,19.5,17.71,4.3,54.01,1.0,1.0,48.07,speculative
AAPL,2024-02-09,2024-02-13,momentum,44.0,186.56,183.62,194.57,2.73,183.62,stop,-1.0,2,risk_on,2.5,0.907,,20.24,8.208,1,65.8,False,11.5,13.2,15.99,6.3,46.99,1.0,1.0,42.62,speculative
AAPL,2024-02-29,2024-03-01,reversion,72.0,178.95,176.99,183.86,2.5,176.99,stop,-1.0,1,risk_on,2.5,0.922,,25.51,5.751,0,65.8,False,0.0,21.6,18.32,4.3,44.22,1.0,1.0,40.77,speculative
AAPL,2024-05-28,2024-06-10,momentum,70.0,187.53,184.69,195.35,2.75,195.35,target,2.754,9,risk_on,2.5,0.912,,33.81,-7.209,0,65.8,False,12.5,21.0,10.0,4.3,47.8,1.0,1.0,43.59,speculative
AAPL,2024-06-26,2024-07-02,momentum,70.0,208.04,204.82,216.91,2.75,216.91,target,2.755,4,risk_on,2.5,0.89,,46.13,-9.748,0,65.8,False,12.5,21.0,10.0,4.3,47.8,1.0,1.0,42.54,speculative
AAPL,2024-07-22,2024-07-24,momentum,48.86,224.69,220.36,236.61,2.75,220.36,stop,-1.0,2,risk_on,2.5,0.88,,42.35,3.605,0,65.8,False,12.5,14.66,17.21,4.3,48.67,1.0,1.0,42.83,speculative
AAPL,2024-07-31,2024-08-05,momentum,57.0,219.0,213.99,231.55,2.5,213.99,stop,-1.0,3,risk_on,2.5,0.88,,28.96,4.735,1,65.8,False,0.0,17.1,19.08,6.3,42.48,1.0,1.0,37.38,speculative
AAPL,2024-08-28,2024-09-03,momentum,45.0,224.24,221.1,232.87,2.75,221.1,stop,-1.0,3,neutral,2.75,0.824,,14.62,9.451,0,65.8,False,12.5,13.5,10.0,4.3,40.3,1.0,1.0,33.21,speculative
AAPL,2024-11-14,2024-11-26,momentum,40.0,224.52,221.54,232.7,2.75,232.7,target,2.745,8,risk_on,2.5,0.894,,13.11,3.049,2,65.8,False,12.5,12.0,6.1,8.3,38.9,1.0,1.0,34.78,speculative
AAPL,2025-01-28,2025-01-29,momentum,57.0,228.95,227.68,232.45,2.75,232.45,target,2.756,1,neutral,2.75,0.85,,29.72,1.546,1,65.8,True,12.5,17.1,12.99,6.3,48.89,1.0,0.7,29.09,speculative
AAPL,2025-02-12,2025-02-20,momentum,40.0,231.1,225.98,245.18,2.75,245.18,target,2.75,5,risk_on,2.5,0.879,,16.93,2.586,3,65.8,False,12.5,12.0,9.27,9.3,43.07,1.0,1.0,37.86,speculative
AAPL,2025-07-16,2025-07-31,momentum,40.29,208.84,206.4,215.56,2.75,206.4,stop,-1.0,11,risk_on,2.5,0.896,,16.35,1.407,2,65.8,False,12.5,12.09,6.59,8.3,39.48,1.0,1.0,35.37,speculative
AAPL,2025-08-22,2025-09-03,momentum,70.0,226.62,223.15,236.17,2.75,236.17,target,2.752,7,risk_on,2.5,0.94,,32.07,-3.04,0,65.8,False,12.5,21.0,10.0,4.3,47.8,1.0,1.0,44.93,speculative
AAPL,2025-10-06,2025-10-10,momentum,85.0,254.41,250.33,265.63,2.75,250.33,stop,-1.0,4,risk_on,2.5,0.891,,35.56,5.784,4,65.8,False,12.5,25.5,20.0,9.3,67.3,1.0,1.0,59.96,medium
AAPL,2025-11-07,2025-11-25,momentum,54.86,267.87,263.9,278.77,2.75,278.77,target,2.746,12,neutral,2.75,0.794,,30.18,2.698,1,65.8,False,12.5,16.46,15.4,6.3,50.66,1.0,1.0,40.22,speculative
AAPL,2025-12-09,2025-12-11,momentum,44.57,278.36,274.74,288.31,2.75,274.74,stop,-1.0,2,risk_on,2.5,0.907,,32.95,-1.149,3,65.8,False,12.5,13.37,10.0,9.3,45.17,1.0,1.0,40.97,speculative
AAPL,2026-01-06,2026-01-07,reversion,75.0,261.87,260.52,265.26,2.5,260.52,stop,-1.0,1,risk_on,2.5,0.928,,17.13,-1.717,1,65.8,False,0.0,22.5,4.22,6.3,33.02,1.0,1.0,30.64,speculative
AAPL,2026-01-16,2026-01-20,reversion,60.0,255.06,253.37,259.26,2.5,253.37,stop,-1.0,1,risk_on,2.5,0.915,,22.72,0.543,1,65.8,False,0.0,18.0,8.36,6.3,32.66,1.0,1.0,29.88,speculative
AAPL,2026-02-02,2026-02-04,momentum,80.0,258.91,253.52,273.66,2.74,273.66,target,2.737,2,risk_on,2.5,0.912,,26.19,0.547,2,65.8,True,12.0,24.0,9.67,8.3,53.97,1.0,0.7,34.45,speculative
AAPL,2026-04-06,2026-04-07,momentum,59.0,254.08,249.12,267.72,2.75,249.12,stop,-1.0,1,neutral,2.75,0.774,,19.14,-0.843,1,65.8,False,12.5,17.7,5.37,6.3,41.87,1.0,1.0,32.41,speculative
AVGO,2023-05-05,2023-05-17,momentum,45.0,59.74,58.62,62.84,2.75,62.84,target,2.768,8,risk_on,2.5,0.917,,15.74,12.591,0,80.2,False,12.5,13.5,13.42,5.0,44.42,1.0,1.0,40.73,speculative
AVGO,2023-06-27,2023-07-12,momentum,77.0,81.11,79.11,86.61,2.75,86.61,target,2.75,10,risk_on,2.5,0.921,,52.82,-22.824,1,80.2,False,12.5,23.1,10.0,7.0,52.6,1.0,1.0,48.44,speculative
AVGO,2023-07-26,2023-08-04,momentum,61.71,86.77,84.85,91.8,2.62,84.85,stop,-1.0,7,risk_on,2.5,0.936,,44.52,-0.586,3,80.2,False,6.0,18.51,10.0,10.0,44.51,1.0,1.0,41.66,speculative
AVGO,2023-08-11,2023-08-18,reversion,47.0,80.16,79.04,82.96,2.5,79.04,stop,-1.0,5,risk_on,2.5,0.874,,31.37,-15.304,0,80.2,False,0.0,14.1,10.0,5.0,29.1,1.0,1.0,25.43,speculative
AVGO,2023-08-28,2023-08-31,momentum,85.0,82.68,80.71,88.09,2.75,88.09,target,2.746,3,neutral,2.75,0.851,,22.29,-8.112,0,80.2,False,12.5,25.5,7.11,5.0,50.11,1.0,1.0,42.64,speculative
AVGO,2023-09-13,2023-09-21,reversion,50.0,82.4,80.63,86.84,2.5,80.63,stop,-1.0,6,risk_on,2.5,0.899,,17.78,11.967,1,80.2,False,0.0,15.0,14.59,7.0,36.59,1.0,1.0,32.89,speculative
AVGO,2023-11-29,2023-11-30,momentum,48.86,92.9,90.74,98.51,2.59,90.74,stop,-1.0,1,risk_on,2.5,0.92,,31.37,0.253,0,80.2,False,4.5,14.66,10.51,5.0,34.67,1.0,1.0,31.9,speculative
AVGO,2023-12-29,2024-01-02,momentum,85.0,108.84,106.33,115.13,2.5,106.33,stop,-1.0,1,risk_on,2.5,0.95,,42.42,63.689,2,80.2,False,0.0,25.5,20.0,9.0,54.5,1.0,1.0,51.77,speculative
AVGO,2024-02-02,2024-02-08,momentum,70.0,117.54,114.59,125.03,2.55,125.03,target,2.548,4,risk_on,2.5,0.86,,38.5,18.087,0,80.2,False,2.5,21.0,20.0,5.0,48.5,1.0,1.0,41.71,speculative
AVGO,2024-03-20,2024-03-21,momentum,50.0,123.87,120.53,133.06,2.75,133.06,target,2.751,1,risk_on,2.5,0.915,,22.2,-7.949,0,80.2,False,12.5,15.0,7.07,5.0,39.57,1.0,1.0,36.21,speculative
AVGO,2024-04-04,2024-04-17,momentum,44.57,130.52,127.01,140.17,2.75,127.01,stop,-1.0,9,neutral,2.75,0.792,,23.29,-9.121,2,80.2,False,12.5,13.37,7.48,9.0,42.35,1.0,1.0,33.54,speculative
AVGO,2024-04-29,2024-05-01,momentum,52.0,127.28,122.89,138.53,2.56,122.89,stop,-1.0,2,risk_on,2.5,0.88,,21.62,-4.178,0,80.2,True,3.0,15.6,6.78,5.0,30.38,1.0,0.7,18.71,speculative
AVGO,2024-05-29,2024-05-30,momentum,48.86,136.77,134.26,143.68,2.75,134.26,stop,-1.0,1,risk_on,2.5,0.88,,26.03,4.373,0,80.2,False,12.5,14.66,17.26,5.0,49.42,1.0,1.0,43.49,speculative
AVGO,2024-06-27,2024-07-05,momentum,54.86,158.7,153.76,172.31,2.75,172.31,target,2.749,5,risk_on,2.5,0.896,,33.6,-15.524,1,80.2,False,12.5,16.46,10.0,7.0,45.96,1.0,1.0,41.18,speculative
AVGO,2024-07-23,2024-07-24,momentum,57.0,160.57,154.52,176.16,2.58,154.52,stop,-1.0,1,risk_on,2.5,0.88,,24.46,-1.107,0,80.2,False,4.0,17.1,7.92,5.0,34.02,1.0,1.0,29.94,speculative
AVGO,2024-08-14,2024-08-22,momentum,59.0,148.15,141.28,167.02,2.75,167.02,target,2.751,6,neutral,2.75,0.822,,26.26,1.555,1,80.2,True,12.5,17.7,11.71,7.0,48.91,1.0,0.7,28.14,speculative
AVGO,2024-08-30,2024-09-03,momentum,45.0,158.07,152.78,172.63,2.75,152.78,stop,-1.0,1,neutral,2.75,0.847,,13.5,16.722,0,80.2,False,12.5,13.5,10.0,5.0,41.0,1.0,1.0,34.73,speculative
AVGO,2024-09-12,2024-09-24,momentum,72.0,151.73,144.08,172.78,2.75,172.78,target,2.752,8,neutral,2.75,0.847,,18.0,10.941,0,80.2,True,12.5,21.6,14.71,5.0,53.81,1.0,0.7,31.9,speculative
