symbol,entry_date,exit_date,setup,setup_score,entry,stop,target,rr_planned,exit_price,exit_reason,r_realized,days_held,regime_label,rr_gate,regime_mult,days_to_earnings,adx_value,ad_line_slope_pct,higher_lows,institutional_ownership_pct,extended,rr_pts,setup_pts,macd_hist,bb_pos,vol_surge_20,raw_score,earnings_mult,final_score,confidence
AAPL,2023-04-12,2023-04-28,momentum,40.29,159.5,156.93,166.57,2.75,166.57,target,2.751,12,risk_on,2.5,0.893,,30.81,28.771,0,66.0,False,20.0,12.09,-0.4599,0.4909,0.81,43.73,1.0,43.73,speculative
AAPL,2023-05-18,2023-05-30,momentum,85.0,170.27,168.06,176.33,2.75,176.33,target,2.755,7,risk_on,2.5,0.909,,33.53,10.167,0,66.0,False,20.0,25.5,0.0118,0.8582,1.17,66.44,1.0,66.44,medium
AAPL,2023-07-28,2023-08-03,momentum,65.0,191.06,188.59,197.85,2.75,188.59,stop,-1.0,4,risk_on,2.5,0.927,,43.67,-1.853,3,66.0,False,20.0,19.5,-0.1929,0.9217,0.93,59.5,1.0,59.5,medium
AAPL,2023-08-15,2023-08-17,reversion,87.0,175.23,173.56,179.42,2.5,173.56,stop,-1.0,2,risk_on,2.5,0.862,,39.52,-17.511,0,66.0,False,0.0,26.1,-1.6561,0.1637,0.75,28.23,1.0,28.23,speculative
AAPL,2023-08-29,2023-08-30,momentum,92.0,177.41,175.41,182.91,2.75,182.91,target,2.75,1,risk_on,2.5,0.901,,31.76,-7.256,1,66.0,False,20.0,27.6,0.747,0.7372,0.92,92.6,1.0,92.6,high
AAPL,2023-09-13,2023-09-18,reversion,47.0,172.03,170.43,176.04,2.5,176.04,target,2.506,3,risk_on,2.5,0.899,,26.93,3.535,0,66.0,False,0.0,14.1,-0.6092,0.2152,1.42,23.1,1.0,23.1,speculative
AAPL,2023-11-02,2023-11-07,momentum,82.0,170.91,168.46,177.65,2.75,177.65,target,2.751,3,neutral,2.75,0.857,,22.1,10.921,1,66.0,False,20.0,24.6,0.2367,0.6608,1.44,87.85,1.0,87.85,high
AAPL,2023-11-29,2023-12-04,momentum,48.86,187.34,185.68,191.91,2.75,185.68,stop,-1.0,3,risk_on,2.5,0.92,,31.57,16.47,0,66.0,False,20.0,14.66,0.1356,0.6703,0.82,69.36,1.0,69.36,medium
AAPL,2024-01-04,2024-01-10,reversion,75.0,179.87,178.11,184.27,2.5,184.27,target,2.5,4,risk_on,2.5,0.906,,27.12,3.137,0,66.0,False,0.0,22.5,-1.8962,-0.1411,1.29,27.4,1.0,27.4,speculative
AAPL,2024-01-19,2024-01-22,momentum,65.0,184.92,182.49,191.59,2.75,191.59,target,2.745,1,risk_on,2.5,0.89,,23.89,7.289,0,66.0,False,20.0,19.5,0.1976,0.6812,1.33,81.49,1.0,81.49,high
AAPL,2024-02-09,2024-02-13,momentum,44.0,186.56,183.62,194.57,2.73,183.62,stop,-1.0,2,risk_on,2.5,0.907,,20.24,8.208,1,66.0,False,18.4,13.2,-0.0496,0.4951,0.79,43.4,1.0,43.4,speculative
AAPL,2024-02-29,2024-03-01,reversion,72.0,178.95,176.99,183.86,2.5,176.99,stop,-1.0,1,risk_on,2.5,0.922,,25.51,5.751,0,66.0,False,0.0,21.6,-0.3088,0.1551,2.53,33.62,1.0,33.62,speculative
AAPL,2024-05-28,2024-06-10,momentum,70.0,187.53,184.69,195.35,2.75,195.35,target,2.754,9,risk_on,2.5,0.912,,33.81,-7.209,0,66.0,False,20.0,21.0,0.0709,0.6929,0.84,66.39,1.0,66.39,medium
AAPL,2024-06-26,2024-07-02,momentum,70.0,208.04,204.82,216.91,2.75,216.91,target,2.755,4,risk_on,2.5,0.89,,46.13,-9.748,0,66.0,False,20.0,21.0,-0.2041,0.7596,0.76,61.0,1.0,61.0,medium
AAPL,2024-07-22,2024-07-24,momentum,48.86,224.69,220.36,236.61,2.75,220.36,stop,-1.0,2,risk_on,2.5,0.88,,42.35,3.605,0,66.0,False,20.0,14.66,-1.3739,0.5312,0.71,47.91,1.0,47.91,speculative
AAPL,2024-07-31,2024-08-05,momentum,57.0,219.0,213.99,231.55,2.5,213.99,stop,-1.0,3,risk_on,2.5,0.88,,28.96,4.735,1,66.0,False,0.0,17.1,-1.8979,0.3582,0.96,23.43,1.0,23.43,speculative
AAPL,2024-08-28,2024-09-03,momentum,45.0,224.24,221.1,232.87,2.75,221.1,stop,-1.0,3,neutral,2.75,0.824,,14.62,9.451,0,66.0,False,20.0,13.5,0.5581,0.7114,0.74,78.5,1.0,78.5,medium
AAPL,2024-11-14,2024-11-26,momentum,40.0,224.52,221.54,232.7,2.75,232.7,target,2.745,8,risk_on,2.5,0.894,,13.11,3.049,2,66.0,False,20.0,12.0,-0.2294,0.4938,1.04,43.75,1.0,43.75,speculative
AAPL,2025-01-28,2025-01-29,momentum,57.0,228.95,227.68,232.45,2.75,232.45,target,2.756,1,neutral,2.75,0.85,,29.72,1.546,1,66.0,True,20.0,17.1,-0.5184,0.535,1.42,56.7,1.0,56.7,medium
AAPL,2025-02-12,2025-02-20,momentum,40.0,231.1,225.98,245.18,2.75,245.18,target,2.75,5,risk_on,2.5,0.879,,16.93,2.586,3,66.0,False,20.0,12.0,0.7031,0.7745,0.76,77.0,1.0,77.0,medium
AAPL,2025-07-16,2025-07-31,momentum,40.29,208.84,206.4,215.56,2.75,206.4,stop,-1.0,11,risk_on,2.5,0.896,,16.35,1.407,2,66.0,False,20.0,12.09,0.2856,0.6839,0.88,71.09,1.0,71.09,medium
AAPL,2025-08-22,2025-09-03,momentum,70.0,226.62,223.15,236.17,2.75,236.17,target,2.752,7,risk_on,2.5,0.94,,32.07,-3.04,0,66.0,False,20.0,21.0,0.0768,0.6662,0.69,65.79,1.0,65.79,medium
AAPL,2025-10-06,2025-10-10,momentum,85.0,254.41,250.33,265.63,2.75,250.33,stop,-1.0,4,risk_on,2.5,0.891,,35.56,5.784,4,66.0,False,20.0,25.5,0.1907,0.7325,0.75,82.77,1.0,82.77,high
