symbol,entry_date,exit_date,setup,setup_score,entry,stop,target,rr_planned,exit_price,exit_reason,r_realized,days_held,regime_label,rr_gate,regime_mult,days_to_earnings,adx_value,ad_line_slope_pct,higher_lows,institutional_ownership_pct,extended,rr_pts,setup_pts,ctx_pts,inst_pts,raw_score,earnings_mult,extended_mult,final_score,confidence
AAPL,2024-05-28,2024-06-10,momentum,70.0,187.53,184.69,195.35,2.75,195.35,target,2.754,9,risk_on,2.5,0.912,,33.81,-32.104,0,65.8,False,12.5,21.0,10.0,4.3,47.8,1.0,1.0,43.59,speculative
AAPL,2024-06-26,2024-07-02,momentum,70.0,208.04,204.82,216.91,2.75,216.91,target,2.755,4,risk_on,2.5,0.89,,46.13,-59.326,0,65.8,False,12.5,21.0,10.0,4.3,47.8,1.0,1.0,42.54,speculative
AAPL,2024-07-22,2024-07-24,momentum,48.86,224.69,220.36,236.61,2.75,220.36,stop,-1.0,2,risk_on,2.5,0.88,,42.35,34.974,0,65.8,False,12.5,14.66,20.0,4.3,51.46,1.0,1.0,45.28,speculative
AAPL,2024-07-31,2024-08-05,momentum,57.0,219.0,213.99,231.55,2.5,213.99,stop,-1.0,3,risk_on,2.5,0.88,,28.96,54.122,1,65.8,False,0.0,17.1,19.61,6.3,43.01,1.0,1.0,37.85,speculative
AAPL,2024-08-28,2024-09-03,momentum,45.0,224.24,221.1,232.87,2.75,221.1,stop,-1.0,3,neutral,2.75,0.824,,14.62,73.407,0,65.8,False,12.5,13.5,10.0,4.3,40.3,1.0,1.0,33.21,speculative
AAPL,2024-11-14,2024-11-26,momentum,40.0,224.52,221.54,232.7,2.75,232.7,target,2.745,8,risk_on,2.5,0.894,,13.11,14.401,2,65.8,False,12.5,12.0,10.0,8.3,42.8,1.0,1.0,38.26,speculative
AAPL,2025-01-28,2025-01-29,momentum,57.0,228.95,227.68,232.45,2.75,232.45,target,2.756,1,neutral,2.75,0.85,,29.72,4.252,1,65.8,True,12.5,17.1,18.4,6.3,54.3,1.0,0.7,32.31,speculative
AAPL,2025-02-12,2025-02-20,momentum,40.0,231.1,225.98,245.18,2.75,245.18,target,2.75,5,risk_on,2.5,0.879,,16.93,7.208,3,65.8,False,12.5,12.0,14.1,9.3,47.9,1.0,1.0,42.1,speculative
AAPL,2025-07-16,2025-07-31,momentum,40.29,208.84,206.4,215.56,2.75,206.4,stop,-1.0,11,risk_on,2.5,0.896,,16.35,3.365,2,65.8,False,12.5,12.09,10.5,8.3,43.39,1.0,1.0,38.88,speculative
AAPL,2025-08-22,2025-09-03,momentum,70.0,226.62,223.15,236.17,2.75,236.17,target,2.752,7,risk_on,2.5,0.94,,32.07,-7.312,0,65.8,False,12.5,21.0,10.0,4.3,47.8,1.0,1.0,44.93,speculative
AAPL,2025-10-06,2025-10-10,momentum,85.0,254.41,250.33,265.63,2.75,250.33,stop,-1.0,4,risk_on,2.5,0.891,,35.56,13.413,4,65.8,False,12.5,25.5,20.0,9.3,67.3,1.0,1.0,59.96,medium
AAPL,2025-11-07,2025-11-25,momentum,54.86,267.87,263.9,278.77,2.75,278.77,target,2.746,12,neutral,2.75,0.794,,30.18,5.941,1,65.8,False,12.5,16.46,20.0,6.3,55.26,1.0,1.0,43.88,speculative
AAPL,2025-12-09,2025-12-11,momentum,44.57,278.36,274.74,288.31,2.75,274.74,stop,-1.0,2,risk_on,2.5,0.907,,32.95,-2.466,3,65.8,False,12.5,13.37,10.0,9.3,45.17,1.0,1.0,40.97,speculative
AAPL,2026-01-06,2026-01-07,reversion,75.0,261.87,260.52,265.26,2.5,260.52,stop,-1.0,1,risk_on,2.5,0.928,,17.13,-3.698,1,65.8,False,0.0,22.5,4.22,6.3,33.02,1.0,1.0,30.64,speculative
AAPL,2026-01-16,2026-01-20,reversion,60.0,255.06,253.37,259.26,2.5,253.37,stop,-1.0,1,risk_on,2.5,0.915,,22.72,1.19,1,65.8,False,0.0,18.0,9.65,6.3,33.95,1.0,1.0,31.06,speculative
AAPL,2026-02-02,2026-02-04,momentum,80.0,258.91,253.52,273.66,2.74,273.66,target,2.737,2,risk_on,2.5,0.912,,26.19,1.17,2,65.8,True,12.0,24.0,10.91,8.3,55.21,1.0,0.7,35.25,speculative
AAPL,2026-04-06,2026-04-07,momentum,59.0,254.08,249.12,267.72,2.75,249.12,stop,-1.0,1,neutral,2.75,0.774,,19.14,-1.872,1,65.8,False,12.5,17.7,5.37,6.3,41.87,1.0,1.0,32.41,speculative
MSFT,2024-04-08,2024-04-15,momentum,70.0,415.27,410.37,428.74,2.75,410.37,stop,-1.0,5,neutral,2.75,0.838,,22.58,14.418,0,75.8,False,12.5,21.0,17.22,5.0,55.72,1.0,1.0,46.69,speculative
MSFT,2024-05-06,2024-05-15,momentum,59.0,397.11,391.84,411.6,2.75,411.6,target,2.75,7,risk_on,2.5,0.889,,19.79,-8.382,1,75.8,False,12.5,17.7,5.74,7.0,42.94,1.0,1.0,38.17,speculative
MSFT,2024-08-20,2024-08-27,momentum,46.29,411.78,405.41,429.27,2.75,405.41,stop,-1.0,5,neutral,2.75,0.82,,26.5,-2.89,2,75.8,False,12.5,13.89,8.69,9.0,44.08,1.0,1.0,36.15,speculative
